M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: |   |   |   after  NldfgBuild : Create dfg M=1719.89mb, Malloc-M=495mb, Available-M=43494mb, T=0s CPU=0.13s W=(2024-12-07 00:19:00)
STATS:: |   |   |   before StaticCheck: StaticCheckProcess : M=1719.89mb, Malloc-M=495mb, Available-M=43493mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   |   before StaticCheck: NldfgFlatDesign : M=1719.89mb, Malloc-M=495mb, Available-M=43493mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   |   after  StaticCheck: NldfgFlatDesign : M=1719.89mb, Malloc-M=495mb, Available-M=43493mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   |   before StaticCheck: CombLoopCheck  : M=1719.89mb, Malloc-M=495mb, Available-M=43490mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   |   after  StaticCheck: CombLoopCheck  : M=1719.89mb, Malloc-M=495mb, Available-M=43491mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   |   before StaticCheck: MultiDriverCheck  : M=1719.89mb, Malloc-M=495mb, Available-M=43490mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   |   after  StaticCheck: MultiDriverCheck  : M=1719.89mb, Malloc-M=495mb, Available-M=43492mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   after  StaticCheck: StaticCheckProcess : M=1719.89mb, Malloc-M=495mb, Available-M=43492mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   before DfgBuild: DfgRemodel : M=1719.89mb, Malloc-M=495mb, Available-M=43488mb, T=0s CPU=0s W=(2024-12-07 00:19:00)
STATS:: |   |   |   after  DfgBuild: DfgRemodel : M=1719.89mb, Malloc-M=493mb, Available-M=43495mb, T=1s CPU=0.24s W=(2024-12-07 00:19:01)
STATS:: |   |   after  Check: FormalModel : M=1719.89mb, Malloc-M=483mb, Available-M=43495mb, T=1s CPU=0.4s W=(2024-12-07 00:19:01)
STATS:: |   after  Check: BuildFormal : M=1719.89mb, Malloc-M=483mb, Available-M=43494mb, T=1s CPU=0.41s W=(2024-12-07 00:19:01)
STATS:: |   before Check: GCDB : M=1719.89mb, Malloc-M=483mb, Available-M=43494mb, T=0s CPU=0s W=(2024-12-07 00:19:01)
STATS:: |   after  Check: GCDB : M=1719.89mb, Malloc-M=483mb, Available-M=43492mb, T=0s CPU=0.01s W=(2024-12-07 00:19:01)
STATS:: |   before Check: Tanglewood : M=1719.89mb, Malloc-M=483mb, Available-M=43493mb, T=0s CPU=0s W=(2024-12-07 00:19:01)
STATS:: |   after  Check: Tanglewood : M=1719.89mb, Malloc-M=483mb, Available-M=43481mb, T=0s CPU=0.05s W=(2024-12-07 00:19:01)
STATS:: after  Check: check_fv : M=1719.89mb, Malloc-M=483mb, Available-M=43480mb, T=1s CPU=0.47s W=(2024-12-07 00:19:01)
